catalog,localpath,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
1023w,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023w_dv_0.tif,0.3062329005724667,0.406,,80.69,1.36,30.91,37.48,-0.03,-2.4
1025,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/1025_fp_2.tif,0.0156448549031806,0.28,59.06444,96.2,-0.25,1.18,,,
1026,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/1026_fp_1.tif,0.0153760522254915,0.231,30.21858,93.5,-0.35,1.79,,,
1028,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/1028_ii_2.tif,0.0167292664770701,0.315,63.45813,93.72,1.1,4.69,,,
1029,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/1029_ic_0.tif,0.0066387493229295,0.247,59.23014,94.23,0.32,6.03,,,
103,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/103_kk_0.tif,0.0558165854811815,0.353,10.15804,94.07,-0.61,7.23,,,
1030,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/1030_ic_0.tif,0.1153686759347328,0.278,23.7583,16.56,0.1,2.63,,,
1033,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/1033_kk_2.tif,0.0201334353648864,0.152,42.07076,92.31,-0.86,2.01,,,
1034,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/1034_kk_1.tif,0.0074377490715992,0.234,93.52643,94.64,-1.39,4.19,,,
1035,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/1035_kk_1.tif,0.0067783074526904,0.236,25.61448,94.34,-1.09,4.36,,,
1036,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/1036_kk_2.tif,0.0265288235027129,0.153,34.29456,91.38,-0.66,1.67,,,
