,localpath,roughness
15837,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290h_kp_1.tif,0.0172175357583959
15838,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290h_kp_2.tif,0.0172813759813328
15839,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290i_kp_0.tif,0.0164211871821373
15840,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290i_kp_1.tif,0.0167766617381965
15841,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290i_kp_2.tif,0.0172734135425908
15842,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290j_kp_0.tif,0.0150283913178707
15843,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290j_kp_1.tif,0.0161387320757029
15844,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290j_kp_2.tif,0.015207731875515
15845,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792a_av_0.tif,0.0162559440285098
15846,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792a_av_1.tif,0.0157499403236685
15847,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792b_ab_0.tif,0.0111656237099299
15848,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792b_ab_1.tif,0.0111367106299316
15849,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792b_ab_2.tif,0.0097229673428419
15850,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792c_ap_0.tif,0.0585619462755918
15851,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792d_ab_0.tif,0.0131172823281228
15852,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792e_ab_0.tif,0.0257110858227298
15853,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792e_ab_1.tif,0.0248028165883192
15854,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792e_ab_2.tif,0.0251518681091198
15855,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792f_ap_0.tif,0.0117611794663218
15856,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792g_ap_0.tif,0.0122692151705805
15857,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792h_av_0.tif,0.0155440457763722
15858,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792h_av_1.tif,0.0144564224955097
15859,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792i_av_0.tif,0.0138246723535062
15860,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792i_av_1.tif,0.0142661995991434
15861,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792j_av_0.tif,0.0141794454732623
15862,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792k_ab_0.tif,0.0245689183869815
15863,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792l_ab_0.tif,0.010000305582497
15864,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792l_ab_1.tif,0.0107799797266317
15865,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792l_ab_2.tif,0.0099921841098121
15866,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792m_ab_0.tif,0.0444601875799924
15867,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792m_ab_1.tif,0.0444565373885152
15868,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792m_ab_2.tif,0.0454297007886556
15869,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792n_ap_0.tif,0.0355651351435999
15870,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/4792o_ab_0.tif,0.0475376568453702
15871,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000a_im_0.tif,0.0077995610550886
15872,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000a_im_1.tif,0.0079808087122239
15873,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000a_im_2.tif,0.0076617515218318
15874,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000b_im_0.tif,0.0215307296205292
15875,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000b_im_1.tif,0.0228885829717321
15876,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000b_im_2.tif,0.0234574472573232
15877,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000c_im_0.tif,0.0246101866775991
15878,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000c_im_1.tif,0.0236657828158226
15879,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000c_im_2.tif,0.0242643518567528
15880,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000d_im_0.tif,0.0067369314166593
15881,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000d_im_1.tif,0.0068126378557464
15882,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000d_im_2.tif,0.0069852537870255
15883,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000e_im_0.tif,0.0221511001048776
15884,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000e_im_1.tif,0.0220475121615809
15885,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000e_im_2.tif,0.0229094628702337
15886,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000f_im_0.tif,0.006364695885131
15887,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000f_im_1.tif,0.0064645879649108
15888,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000f_im_2.tif,0.0065432618902328
