catalog,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
1449,11.434386066377444,0.22,4.178939,88.2,-0.87,8.48,,,
145,5.644929589932229,0.172,49.90302,,,,,,
1450,9.984806111997171,0.143,14.98033,86.46,-0.94,11.42,,,
1451,18.54880139412388,0.146,27.85241,76.13,0.53,21.94,,,
1452,62.053572790369046,0.137,17.57539,55.72,0.76,7.45,,,
1453,11.730383862880297,0.15,8.566293,88.14,-1.16,11.6,,,
1454,4.726273461687532,0.16,32.49037,91.0,-1.48,-0.11,,,
1455,11.760592493430336,0.15,12.56157,86.32,-1.37,9.5,,,
1456,13.012178406749628,0.222,4.172484,88.74,-0.95,8.06,,,
1457,12.029167709595203,0.157,16.43975,85.43,-1.47,10.55,,,
1458,4.918777107567496,0.174,52.24576,92.31,0.12,-1.83,,,
1459,4.741143841183131,0.172,51.22952,91.9,0.37,-1.87,,,
146,10.530159190294384,0.326,6.554399,94.09,-1.15,8.75,,,
1460,12.38567865040347,0.157,11.17867,86.93,-1.21,9.12,,,
1461,4.107544219160449,0.182,56.826565,93.47,-0.12,1.59,,,
1462,4.157607755785234,0.178,60.22919,94.6,-0.49,2.62,,,
1463,3.695983682288032,0.159,61.71802,93.43,-0.59,2.44,,,
1464,4.06526893609074,0.172,61.56326,93.64,-1.12,5.28,,,
1465,3.2856755967265814,0.176,70.67408,94.25,-0.72,3.63,,,
1466,4.114266041476104,0.317,67.45556,94.59,-0.23,3.18,,,
1467,3.955798831722085,0.293,71.65339,94.72,-0.29,3.27,,,
1468,4.630651792982219,0.29,54.67537,94.64,-0.4,3.64,,,
1469,4.843583420613254,0.292,51.98339,94.5,-0.31,3.54,,,
147,4.653115598557777,0.182,60.59706,91.83,0.24,-0.73,,,
1470,4.936907254057866,0.306,49.9689,94.73,-0.47,3.92,,,
1471,3.797169298787234,0.313,70.46916,94.6,-0.31,3.36,,,
1472,3.895008884150289,0.306,69.817035,94.55,-0.25,3.32,,,
1473,4.836474063391364,0.295,49.32664,94.75,-0.36,3.51,,,
1474,4.198019213186986,0.178,49.02733,92.31,-0.3,3.18,,,
1475,7.359988947344712,0.16,10.40487,94.12,-0.47,4.8,,,
1476,5.382892483928216,0.175,57.63572,93.62,-0.66,4.14,,,
1477,4.215788991557756,0.174,57.5546,94.55,-0.53,2.74,,,
1478,11.595540240013428,0.407,5.56549,93.46,-0.42,10.99,,,
1479,22.5093756716628,,5.4108,92.93,-0.09,21.03,,,
148,3.0678474771605493,0.169,64.63084,94.37,0.52,-0.66,,,
1480,7.338514353147503,0.336,6.030549,96.49,-0.8,4.45,,,
1481,22.47913171644885,,5.346996,92.73,-0.19,20.61,,,
1482,5.644943932687014,0.36,10.14928,94.37,-1.6,10.49,,,
1483,50.16452511254968,0.288,27.77467,14.0,0.24,0.18,,,
1484,72.87233455829617,0.288,32.27782,8.28,1.01,3.66,,,
1485,47.954629722724576,0.288,31.27252,15.88,0.86,-0.1,,,
1486,43.40364080596237,0.291,28.91746,14.32,-0.16,-0.35,,,
1487,45.94567086375077,0.289,28.96393,14.49,1.39,0.82,,,
1488,42.90332537699901,0.29,28.94681,14.31,0.47,-0.07,,,
1489,48.10828498934422,0.287,31.42373,13.88,0.25,0.31,,,
149,9.02115694979476,0.358,9.749304,94.86,-0.93,8.13,,,
1490,52.847531896418175,0.289,32.45483,14.58,0.75,0.41,,,
1491,46.73387855753678,0.287,30.76672,13.08,0.55,0.02,,,
1492,50.08766369115058,0.289,29.2327,13.12,0.23,0.19,,,
1493,54.23879484470869,0.292,29.6227,13.72,-0.01,-0.13,,,
1494,48.49741703950183,0.288,32.25499,13.13,-0.09,0.57,,,
1495,5.589639132084049,0.169,40.62876,90.28,-0.11,4.68,,,
1496,5.65914631911754,0.163,50.26194,90.82,-0.06,3.24,,,
