catalog,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
5524b,16.78950823333273,,9.328898,91.84,-1.26,9.53,27.5,-0.2,1.82
5524c,6.95759776797916,,11.11166,91.64,-0.72,5.0,23.34,0.49,5.5
5524d,7.048743930753664,,13.68858,91.83,-0.77,10.38,21.91,0.36,5.19
5524e,6.999069243108702,,31.11111,92.38,-0.23,3.59,16.6,0.19,3.6
5524f,8.666928593729791,,22.8769,94.05,-0.56,10.34,21.36,0.19,9.94
5524g,9.737710780023384,,3.69336,94.32,-0.58,8.97,42.72,0.05,3.79
5524h,10.18813688743909,,6.60557,91.46,-0.6,4.83,28.79,0.3,-4.29
5524i,28.56980742857445,,3.757698,91.9,-0.55,8.75,28.94,0.05,0.54
5524j,18.90314490286459,,5.15732,93.1,-1.01,10.42,26.75,0.15,2.89
5524k,16.356648439892997,,25.30221,93.28,-1.46,12.16,22.44,0.38,7.13
5525a,3.0431596325452133,,96.09114,90.97,-0.31,4.31,16.74,-0.04,1.3
5525b,14.99914065495154,,11.40784,91.44,-1.19,9.71,26.0,-0.14,1.77
5525c,7.270902990358256,,15.10832,91.66,-0.79,3.46,29.74,0.35,7.28
5525d,6.43557428205798,,17.47022,90.48,-1.28,10.37,22.96,0.53,6.63
5525e,6.600270433065986,,30.58122,90.38,-0.72,2.66,17.21,0.45,3.63
5525f,9.363035525482555,,20.87243,92.66,-1.11,10.88,36.1,0.11,11.1
5525g,16.836372245355392,,3.465798,92.56,-0.51,8.51,36.35,0.08,0.64
5525h,10.249290927745664,,8.428806,91.12,-0.76,4.68,29.1,0.5,-4.84
5525i,28.90258956174178,,3.75123,90.84,-1.06,5.97,30.31,0.01,0.32
5525j,16.97157699176783,,6.497741,93.01,-0.98,10.28,21.62,0.37,2.41
5525k,19.231921572595272,,24.55556,92.95,-0.94,10.69,14.77,0.25,5.01
5526a,2.5649278055939573,,95.78833,91.61,-0.57,2.62,15.03,-0.02,0.53
5526b,15.670960621373082,,11.55226,88.87,-1.29,7.06,28.91,-0.23,1.55
5526c,8.370206904946597,,16.25736,92.07,-0.68,2.91,32.17,0.44,7.06
5526d,9.8996465098453,,15.10079,92.06,-1.07,10.02,22.49,0.62,6.78
5526e,7.91019023772909,,27.51738,90.78,-0.65,2.31,23.01,0.25,3.16
5526f,9.645837105058911,,25.1952,92.98,-1.12,10.7,27.45,0.62,10.37
5526g,14.323192990309854,,4.050019,92.05,-0.35,8.05,34.78,0.02,1.6
5526h,9.938451072910157,,8.520584,91.16,-0.59,3.54,24.3,0.41,-1.0
5526i,27.93115126163792,,4.110105,90.81,-0.96,5.84,30.63,-0.2,0.48
5526j,22.864200435959887,,4.822392,92.84,-0.77,9.86,23.13,0.35,2.1
5526k,17.357337918192236,,25.18868,92.3,-0.61,10.77,16.14,0.24,4.95
5527aa,2.7240220156404407,0.173,99.86306,91.3,-0.77,6.57,18.61,-0.05,3.48
5527b,7.246099887901224,0.346,7.726556,90.59,-1.1,12.34,27.84,0.34,3.47
5527bb,7.5522953803737725,0.341,11.09947,93.22,-0.8,11.47,18.59,0.07,2.22
5527c,6.800143541186982,0.352,28.80436,90.28,-1.34,11.68,14.66,0.45,4.49
5527cc,7.276984335831123,0.173,10.02606,92.87,-1.06,8.7,23.84,0.12,1.03
5527d,7.097033317429504,0.386,6.579041,90.67,-1.17,13.05,21.74,0.3,2.21
5527dd,19.50573662900184,0.301,22.26597,93.19,-0.8,10.18,19.61,0.15,2.91
5527e,10.14846453110293,0.366,5.403849,90.33,-0.79,11.99,28.05,0.32,2.76
5527ee,2.807861515147217,0.233,92.02757,91.29,0.16,1.86,22.64,0.2,5.87
5527f,22.34536163261924,0.307,14.949,89.47,-1.04,9.71,23.45,0.18,10.0
5527ff,2.668485361872748,0.241,11.03844,85.72,0.23,0.5,15.78,0.86,0.12
5527g,14.892968457058569,0.129,10.48084,89.6,-0.99,11.51,26.49,0.13,1.99
5527gg,19.38812665127121,0.185,6.065016,92.12,-0.93,11.49,27.68,0.79,2.34
5527h,7.012141573834737,0.338,6.494048,91.75,-1.11,8.02,27.1,0.19,0.92
5527hh,14.60563006763325,0.126,10.43883,89.0,0.36,12.09,15.71,0.57,1.34
5527i,8.040735166083048,0.363,7.273427,92.26,-1.02,11.7,28.89,0.09,1.75
5527ii,3.0525437407232023,0.171,94.31882,90.98,-0.14,5.08,17.91,0.2,3.17
5527j,2.9336881404909567,0.171,87.47112,88.98,-0.94,6.45,19.08,0.5,3.45
5527jj,7.9432472020637155,0.178,10.75179,90.21,0.2,5.4,17.09,0.74,1.04
5527k,7.192943897588994,0.357,10.65559,91.15,-0.86,7.07,25.71,0.21,0.53
5527kk,3.505989876401243,0.168,93.81503,91.73,-1.25,9.85,17.7,-0.42,2.78
5527l,8.532579759366431,0.334,10.765,92.11,-1.05,8.37,25.56,0.14,1.46
5527ll,9.00257033710734,0.338,16.34946,93.02,-0.96,9.77,23.25,-0.64,2.39
5527m,3.2069258925031043,0.163,88.37573,91.26,-0.69,7.4,18.62,0.47,5.3
5527mm,8.29931280221901,0.333,20.65583,92.09,-0.76,6.14,25.91,-0.77,0.41
5527n,9.249002244173058,0.337,10.23438,92.05,-0.93,11.62,23.44,0.24,2.92
5527nn,3.642335304423436,0.169,96.55643,90.31,-0.32,3.96,17.56,0.37,0.98
5527o,4.7709156270935535,0.346,45.36432,91.08,-0.94,7.5,14.69,0.54,3.82
5527p,26.044851933332662,0.311,15.05381,92.4,-0.96,11.1,22.07,0.35,4.89
5527q,18.40063639827283,0.195,4.930366,92.01,-1.07,10.58,29.29,-0.2,2.48
5527r,6.999800976755519,0.343,14.97096,91.2,-1.39,12.06,19.06,0.18,3.68
5527s,7.977085337678415,0.3,2.173652,91.56,-1.2,10.8,31.72,0.3,3.65
5527t,8.748094645408873,0.372,10.39922,90.83,-0.99,13.63,25.01,0.71,7.9
5527u,20.633501967597,0.315,22.20102,92.28,-1.15,9.03,39.25,-0.0,10.49
5527v,15.090613691488072,0.149,8.528272,91.0,-0.89,11.23,25.5,-0.27,1.88
5527w,3.129506236905951,0.172,90.66915,91.76,-0.83,7.6,9.27,0.39,1.79
5527x,9.125246122846107,0.329,7.268728,92.77,-0.84,11.85,22.77,0.16,1.36
5527y,4.952408768126114,0.339,48.17344,91.69,-1.03,6.49,14.03,0.19,2.24
5527z,7.925801806922265,0.347,16.30906,90.89,-0.88,6.49,22.79,0.1,0.6
5528a,8.46335493129937,0.348,11.93124,89.88,-1.19,8.67,37.83,-0.05,7.3
5528aa,2.4712160223641324,0.175,96.00184,90.65,-0.63,4.39,16.36,-0.0,2.14
5528b,7.694196475556214,0.354,8.093275,90.38,-0.92,10.15,26.55,0.33,3.65
5528bb,6.977975643368738,0.339,12.13536,93.76,-0.64,10.24,19.46,0.06,2.04
5528c,6.901165584461527,0.353,43.96482,91.4,-1.18,9.08,14.09,0.46,5.68
5528cc,7.412454705747589,0.176,10.35797,92.18,-0.9,6.25,28.4,-0.1,1.43
5528d,7.491309053352533,0.386,9.246981,91.07,-1.09,11.25,22.11,0.35,0.86
5528dd,26.81286765692538,0.305,17.85493,93.21,-0.72,9.08,17.97,0.3,1.26
5528e,11.762750557578986,0.369,5.297221,91.54,-0.56,10.3,28.86,0.44,3.65
5528ee,2.359226629611711,0.232,94.28723,91.55,0.14,-0.1,14.57,0.46,1.45
5528f,23.50166193950444,0.316,13.72606,92.98,-1.04,8.2,22.58,0.18,9.99
5528ff,2.6153193524363623,0.237,11.89192,92.2,0.33,-0.16,17.07,0.81,-0.45
5528g,14.644238517107487,0.129,13.19609,90.3,-1.19,10.38,25.98,0.14,1.61
5528gg,18.17422984292376,0.186,5.293118,92.93,-0.92,9.8,27.1,0.81,1.41
5528h,6.99531187649559,0.331,9.250122,93.11,-0.98,5.95,24.32,0.23,0.77
5528hh,13.612496537418169,0.126,10.5283,90.51,-0.24,8.94,14.39,0.59,1.23
5528i,6.81344869230462,0.366,10.3146,92.58,-0.93,10.11,28.1,0.02,1.54
5528ii,2.6706496091845646,0.171,95.49838,92.26,0.09,0.46,17.44,0.18,2.36
5528j,2.8149149125054342,0.171,93.84412,90.55,-0.65,3.54,19.42,0.1,1.92
5528jj,7.181779594826854,0.175,11.72644,92.0,1.03,0.55,17.61,0.82,0.94
5528k,6.665552415340599,0.353,12.26129,89.72,-0.74,4.99,24.8,0.25,0.52
5528kk,3.331951430973141,0.168,94.2457,,,,,,
5528l,7.900116082313897,0.33,14.69455,92.8,-0.98,6.15,21.68,0.23,1.18
5528ll,8.24586076825711,0.341,17.64734,,,,,,
5528m,2.902831535270593,0.166,92.92168,91.61,-0.54,5.13,20.47,0.28,3.99
5528mm,7.447869066510746,0.332,21.66129,,,,,,
5528n,10.768603096265496,0.323,10.32094,93.0,-0.79,9.91,21.41,0.31,2.2
5528nn,3.3252329145661643,0.173,94.98972,,,,,,
5528o,5.407424493723414,0.337,44.80205,91.84,-0.68,4.99,15.2,0.41,2.72
5528p,24.108593708685785,0.335,16.79887,93.44,-0.68,8.75,21.71,-0.02,3.25
5528q,18.87211097434332,0.196,5.072137,91.78,-1.12,8.6,30.14,-0.41,2.58
5528r,7.884920857874727,0.345,16.17201,90.99,-1.39,9.71,18.06,0.14,3.78
5528s,7.807793539812045,0.303,1.644404,92.4,-1.14,8.75,30.81,0.24,3.43
5528t,8.617253582723132,0.372,10.00811,91.12,-0.94,11.52,25.6,0.72,7.81
5528u,20.9663091699437,0.309,18.36403,91.86,-1.06,7.36,46.44,-0.09,9.63
5528v,14.314361858444428,0.147,8.517794,91.8,-0.99,10.15,24.99,-0.18,1.45
5528w,2.680002362888168,0.169,95.20913,87.86,-0.77,4.74,9.52,0.27,1.3
5528x,7.615957762037083,0.332,8.956034,93.4,-0.67,10.33,22.14,0.21,1.42
5528y,5.290628007487569,0.337,46.65186,90.74,-0.84,4.43,16.17,-0.05,2.03
5528z,7.382917949862776,0.35,14.90387,90.65,-0.77,4.95,21.66,0.11,0.49
5529a,1.9339292364560927,0.245,97.56136,94.33,1.76,-3.75,7.07,1.41,-0.2
5529b,4.9945031578078645,0.247,18.88284,95.08,1.78,-4.43,18.2,0.77,-1.51
5529c,5.6155632592609255,0.244,28.76289,94.18,2.18,-5.13,10.06,1.65,-1.97
5529d,1.737318047273681,0.244,97.70914,96.26,1.3,1.86,10.03,0.53,0.92
5529e,5.361105701881131,0.248,31.77377,96.18,1.2,1.33,7.36,0.99,0.56
5529f,1.9479306636751768,0.327,98.76451,95.17,1.79,-3.91,7.56,1.94,-1.15
5529g,5.226810033133394,0.331,30.32142,95.05,1.87,-4.36,7.91,1.69,-1.37
5529h,1.9130036168362337,0.246,97.68902,93.77,1.96,-5.18,15.08,0.84,-1.54
5529i,4.931817504350036,0.246,39.67847,93.92,2.04,-5.17,10.49,1.14,-1.44
5529j,1.7514667097315186,0.243,98.91493,97.39,1.4,-1.96,28.76,0.22,-0.54
5529k,4.52062167951383,0.244,36.31456,97.02,1.55,-2.16,22.21,0.37,-1.01
5529l,3.626104215919752,0.317,76.37644,96.81,1.7,-2.12,7.55,1.31,0.16
5529m,3.5901597843956057,0.312,1.106993,97.18,1.86,-2.31,24.26,0.48,-0.6
5529n,3.4871302791097585,0.313,72.64036,95.81,2.09,-3.55,18.55,0.71,-0.68
5529o,3.40747886226704,0.314,77.73837,96.25,0.82,3.13,7.01,0.72,2.61
5529p,3.2415034190666985,0.313,7.395273,95.59,0.7,4.52,21.52,0.37,-0.06
5529r,20.71217059858754,0.471,,93.8,1.19,4.88,24.89,-0.19,3.07
5530a,1.974204456396896,0.241,96.51674,95.72,1.77,-3.67,7.09,1.42,-0.11
5530b,5.417404279600718,0.245,14.27129,96.34,1.93,-3.89,17.81,1.03,-1.13
5530c,5.188577147440046,0.247,26.28212,95.92,2.04,-3.62,8.87,1.3,-0.37
5530d,1.690199737559276,0.244,98.22476,97.29,1.26,2.43,7.22,0.59,1.47
5530e,5.051771494022404,0.25,27.2027,96.15,1.19,0.83,10.25,0.4,1.69
5530f,1.966207429786999,0.287,96.80083,95.7,1.73,-3.02,9.77,1.31,-1.03
5530g,5.9297214826024645,0.291,25.47835,95.46,1.74,-3.33,11.46,1.01,-0.46
5530h,1.773029169530653,0.242,98.04266,94.74,1.83,-2.99,9.41,1.01,-0.36
5530i,5.484227796498579,0.245,30.76161,94.81,2.17,-3.77,14.24,0.81,-1.01
5530j,1.730060605290723,0.246,97.22032,97.34,1.52,-1.05,19.43,0.37,-0.65
5530k,5.600454752760988,0.249,28.00984,97.45,1.44,-0.72,15.08,0.59,-0.74
5530l,3.502684418126962,0.314,75.98405,97.82,1.78,-2.19,8.61,1.19,0.29
5530m,3.3467784031686065,0.314,1.362165,98.36,1.92,-2.41,24.91,0.45,-0.61
5530n,3.705639130446396,0.313,71.84602,96.79,2.15,-3.58,17.17,0.73,-0.37
5530o,3.450530852026947,0.318,78.72403,97.61,0.57,3.21,7.79,0.57,3.21
5530p,2.7821960061672493,0.316,5.48587,97.67,0.9,2.9,22.96,0.22,0.08
5530q,3.1195511981082875,0.315,78.77457,97.42,1.09,-0.32,31.68,-0.11,1.45
5530r,20.995982783685733,0.472,5.955889,94.78,1.21,5.27,26.1,-0.16,3.11
5531a,7.002274438681353,0.2,9.137722,90.84,-0.47,6.24,21.37,0.48,0.97
5531b,14.459638356228483,0.15,10.0575,90.31,-0.86,9.89,21.04,0.48,1.88
5531c,4.464984679715826,0.23,11.53092,91.4,-0.91,9.68,23.13,0.48,0.42
5531d,6.959421655912281,0.34,3.952846,91.69,-0.97,9.9,31.05,0.38,-1.88
5531e,5.751283132236567,0.33,22.12357,92.33,-1.15,8.99,15.94,0.9,2.74
5531f,8.805362254150134,0.3,3.423332,91.83,-0.52,7.4,28.92,0.37,0.17
5531g,10.718147438721411,0.28,6.291809,92.47,-0.45,12.37,27.34,0.49,4.98
5531h,19.24156097508901,0.3,6.094589,92.43,-1.35,11.28,23.16,0.32,0.91
5531i,8.00681411331922,0.26,12.2708,91.48,-0.59,10.64,17.06,0.43,1.83
5531j,9.379060878909527,0.2,8.947495,89.87,0.53,16.53,21.36,-0.01,1.04
5531k,21.70766544542145,0.27,3.651166,92.24,-0.95,9.85,28.83,0.27,0.15
5531l,26.643006645289663,0.37,5.19261,91.09,-0.63,15.69,25.11,0.48,1.42
5531m,2.877327555953148,0.3,77.92609,90.42,0.15,2.9,15.13,0.77,2.77
5531n,3.632291065402804,0.39,66.12098,90.23,-0.25,3.23,15.84,0.71,2.66
5531o,27.30609277851869,0.41,10.88004,90.5,-0.3,10.11,17.36,0.62,2.24
5531p,24.34642441534838,0.45,3.41418,88.73,-2.02,18.8,27.61,0.27,-0.04
5531q,26.96057107005977,0.29,4.034333,92.44,-1.13,9.17,27.11,0.46,0.75
5532a,5.784680538209563,0.12,9.852638,90.93,-0.63,6.38,23.66,0.68,2.1
5532b,15.396923327082886,0.15,7.259263,90.56,-0.59,10.54,24.8,0.47,2.56
5532c,4.630953026269165,0.23,11.39031,89.11,-0.66,12.66,21.25,0.6,0.94
5532d,7.295656680602175,0.34,5.427294,89.31,-0.69,13.21,33.24,-0.14,-3.32
5532e,6.283889161057627,0.28,18.21073,91.88,-1.06,9.93,31.02,0.32,4.29
5532f,5.66009330657396,0.25,4.816179,90.87,-0.32,9.63,31.88,0.29,1.46
5532g,10.417693483007168,0.3,8.860044,90.88,-0.42,13.85,24.84,0.42,2.43
5532h,17.32647540104131,0.18,6.932542,91.68,-0.85,11.28,24.03,0.77,2.59
5532i,8.12463874338239,0.26,16.80931,89.94,-0.53,13.02,18.37,1.25,8.55
5532j,8.10676665660975,0.41,8.361486,89.39,0.65,18.28,21.63,0.17,0.37
5532k,25.547248299519527,0.34,3.919493,89.3,-0.62,14.62,29.34,0.61,0.21
5532l,27.45532964076098,0.21,5.48531,90.26,-0.41,16.93,29.32,0.68,-1.63
5532m,3.523287743201564,0.31,68.68939,88.24,0.39,6.34,15.9,0.81,3.56
5532n,5.753264069320643,0.4,62.79571,89.2,0.06,5.55,18.51,0.97,3.95
5532o,21.05323826112364,0.34,13.45356,87.92,-0.21,14.28,17.35,0.71,2.83
5532p,39.80332972752985,0.61,1.950618,86.9,-1.03,20.72,31.15,0.46,-3.13
5532q,21.931556603941903,0.19,5.669221,91.03,-0.9,11.12,25.22,0.52,1.87
5533a,7.991148729746105,0.19,10.0858,90.94,-0.36,6.46,24.23,0.39,-0.39
5533b,15.68178020982974,0.28,8.688894,90.56,-0.73,10.16,26.67,0.19,1.13
5533c,7.123421220609672,0.41,13.35485,90.99,-0.77,10.27,25.89,0.23,-1.35
5533d,7.8715700831911475,0.38,4.34808,90.76,-0.73,10.07,35.24,-0.3,-5.98
5533e,5.737472861081648,0.34,30.68013,92.83,-0.9,8.43,17.41,0.64,3.12
5533f,9.76496639414101,0.26,4.777358,89.85,-0.3,7.84,31.41,0.55,-0.98
5533g,11.717597739392502,0.41,6.66733,90.91,-0.42,14.06,28.63,0.46,-1.13
5533h,19.022895308107653,0.25,7.741661,92.11,-1.16,12.05,24.15,0.52,-0.81
5533i,10.286284643792063,0.25,15.29707,91.91,-0.58,10.84,14.85,0.6,2.63
5533j,9.769854748967694,0.34,7.899207,89.91,0.56,17.82,23.3,0.11,-1.8
5533k,22.89719686219045,0.31,5.501493,92.39,-0.81,10.02,30.59,0.54,-0.98
5533l,26.14454819215421,0.36,7.829075,90.43,-0.44,16.54,26.45,0.47,0.1
5533m,2.457088779438477,0.28,71.33189,89.89,0.41,2.94,14.27,0.79,3.28
5533n,4.68119498045229,0.36,83.75923,90.25,-0.25,4.39,16.65,0.71,2.75
5533o,20.724752588499246,0.35,14.70799,90.51,-0.32,10.25,17.12,0.5,1.51
5533p,23.99111676427333,0.55,3.530301,88.26,-1.97,19.02,29.07,0.23,-1.75
5533q,26.030340520280543,0.24,4.791281,92.56,-1.0,9.38,29.01,0.48,-0.68
5534a,2.268429917951301,0.241,92.8004,92.3,0.09,-0.45,14.54,0.35,1.57
5534b,14.993055459853988,0.128,12.19876,92.11,-1.15,9.68,17.84,0.48,1.64
5534c,7.6417900647081725,0.352,17.08249,93.14,-1.21,7.66,19.18,0.32,4.59
5534d,8.465018894400652,0.35,15.04495,91.94,-1.36,9.36,22.34,0.21,7.44
5534e,3.938514946394392,0.34,46.45269,92.65,-0.77,4.62,20.78,0.19,3.4
5534f,5.666328750695857,0.348,36.61639,91.68,-1.26,8.42,23.62,0.32,9.66
5534g,6.713988620957822,0.322,2.746174,93.08,-1.24,8.51,28.66,0.17,1.9
5534h,7.394978670754551,0.168,12.08586,92.48,-0.89,5.71,39.2,-0.39,2.04
5534i,22.37295895577616,0.188,5.852037,90.95,-0.84,8.23,34.33,-0.3,2.4
5534j,11.457710789280805,0.356,6.108798,92.39,-0.81,11.04,23.91,0.57,4.79
5534k,20.185806881073567,0.312,16.97608,90.43,-1.25,9.13,17.77,-0.0,5.05
5535a,2.5027869396532703,0.246,90.71391,92.73,-0.24,0.78,8.22,1.05,1.58
5535b,15.14608045382329,0.132,11.58756,91.17,-1.24,10.67,17.1,0.56,1.98
5535c,8.126418176590166,0.342,10.79179,92.78,-1.45,8.86,19.87,0.27,4.09
5535d,7.045856072181609,0.351,16.60363,91.33,-1.55,11.64,22.43,0.53,7.85
5535e,4.509169164594296,0.321,35.5783,91.9,-0.91,5.91,18.38,0.3,3.78
5535f,8.205766235817247,0.34,30.77613,92.52,-1.45,9.71,33.56,0.09,11.22
5535g,6.897910002745788,0.316,2.949558,92.55,-1.47,9.55,33.81,0.24,4.65
5535h,7.463237048903933,0.171,11.95412,91.95,-1.15,7.36,44.65,-0.48,4.13
5535i,20.984466196543696,0.201,6.283869,90.14,-1.12,9.16,32.5,-0.44,3.02
5535j,13.674518692786004,0.365,6.023774,91.58,-1.03,12.1,25.06,0.36,4.44
5535k,17.259750161158593,0.319,18.06155,91.22,-1.32,10.32,12.86,-0.08,5.38
5536a,2.212589140889463,0.246,87.90292,92.53,0.09,0.45,9.2,1.05,1.76
5536b,13.498839793063215,0.135,11.24472,92.42,-1.11,10.72,19.47,0.52,1.58
5536c,7.155608575429915,0.354,14.82307,93.14,-1.36,9.1,17.43,0.47,3.97
5536d,6.90618234371513,0.351,12.82415,92.5,-1.38,9.28,21.15,0.27,6.55
5536e,3.471722604683296,0.338,50.28564,90.96,-0.7,5.12,14.69,0.55,3.58
5536f,6.809938236780356,0.35,33.81506,92.66,-1.23,8.87,24.38,0.51,10.61
5536g,5.75457272772805,0.312,3.461761,93.22,-1.13,8.93,28.64,0.15,1.3
5536h,6.930852624910348,0.169,8.374932,92.7,-1.13,5.98,35.94,-0.02,1.12
5536i,23.69138895677189,0.194,5.449966,92.14,-0.81,8.68,37.79,-0.21,2.16
5536j,11.185154135187098,0.358,7.697102,92.32,-0.87,11.44,19.21,0.45,3.06
5536k,13.839916168284658,0.32,25.90978,93.17,-1.48,8.38,19.4,0.14,8.64
5537a,6.295091933712793,0.16,13.68858,97.09,-0.13,4.53,23.58,0.47,2.87
5537b,15.876178018583897,0.12,14.56304,99.96,-0.52,10.54,20.78,0.65,2.68
5537c,5.914018183171979,0.17,36.16824,97.86,-0.02,5.09,15.36,0.42,2.29
5537d,5.889838157995686,0.33,12.48945,92.02,-0.6438769520111798,9.449311597778689,24.42,0.42,2.71
5537e,7.118186457413442,0.33,8.556058,92.14,-0.8388345345741177,10.72700756725402,26.07,1.0189002995975582,1.8853933586325589
5537f,6.940924943642934,0.31,26.51971,92.48,-0.6587240360226287,8.370424351413241,13.949999999999996,0.6941834217304432,4.266603416452957
5537g,6.379437828621729,0.29,4.344138,92.13,-0.2285217306474685,8.738704598958314,29.96,0.2444573576052822,1.6216481196613453
5537h,7.195982841450074,0.34,10.02667,91.0,-0.2563430823672163,12.682930660792934,19.04,0.637166318456367,3.319847972222356
5537i,17.556120152269564,0.35,8.323738,90.79,-0.9688292090823668,13.667091143544408,19.120000000000005,0.7594679375997337,1.896348930488656
5537j,8.977189451914034,0.34,2.740975,91.6,-0.4397448453367647,11.9411273737001,30.05,0.2587288913147578,1.0760329950852632
5537k,8.898646378500114,0.32,18.45481,92.38,-0.5362804166136881,9.869707682523376,14.259999999999998,0.7673914836221207,2.8870918175481872
5537l,13.501431106791935,0.33,10.06029,90.82,0.5152211501485149,15.69157071801981,25.61,0.5803449889162093,2.020067202506881
5537m,19.28723065585509,0.25,6.427063,93.22,-0.8130421937261323,8.114550741106186,27.42,0.3818046580719714,0.6633841329970469
5537n,6.482308859590859,0.28,6.171103,90.55,-0.7022627637679468,3.218799991460042,27.27,0.1950595353997219,1.6630883526888796
5537o,21.71657514803197,0.36,7.194446,91.44,-0.560883201779494,14.833901760887658,22.81,0.6850290450129137,2.3938362358290832
5537p,3.779259933143808,0.27,71.99779,90.83,-0.14007824249751,2.4026300904193887,19.79,0.8746465872931375,3.579429913199439
5537q,2.889358646036153,0.35,82.67817,90.99,-0.117767134390545,1.8036406140696792,17.5,0.9563414999409492,4.120912385119446
5537r,31.287189665172,0.41,10.76387,93.22,-0.3058416540277497,8.308351935718218,23.489999999999995,0.448080818073765,1.431443288800538
5537s,44.61338603970171,0.58,3.649276,87.89,-1.5840775981653676,20.67609596811604,28.72,0.4717254050200514,-0.9431394525386216
5537t,22.50000111266405,0.31,4.241522,91.1,-0.178505964506026,12.486615120600495,31.82,0.6524210661707219,1.0434162941105107
5538a,6.169428233274232,0.18,12.82347,88.78,-0.5969275295126253,3.5691355499472,20.53,0.2122877157197111,2.1987062871794194
5538b,14.362520719551048,0.13,12.62734,91.2,-0.8483136919670842,9.203930499324798,17.42,0.6005966728067913,1.7614185790923886
5538c,5.71332571506168,0.15,39.44761,89.21,-0.5186270775078827,5.2673015640624765,14.6,0.7073445458865291,2.1438385779613545
5538d,6.536563035773368,0.3,10.59884,93.0,-0.9201592287965132,8.520110802913173,20.21,0.2031680250283996,1.392906186064502
5538e,7.449039971540936,0.31,7.005587,92.71,-0.8909975113127744,10.383150845647382,25.04,0.2111978558121119,1.0613849729763092
5538f,7.536422264400964,0.28,25.57192,92.59,-0.8464054039944435,7.942700694080096,12.740000000000006,0.6732125752527962,2.4892629792687693
5538g,5.9368748623922105,0.28,3.538827,92.17,-0.0810799775750048,7.528377295837885,29.61,0.202656674483298,1.0488005868027783
5538h,10.241743382299555,0.32,8.409521,92.22,-0.3819684192462036,10.431667347365714,21.190000000000005,0.3065234820458229,1.6565319523323407
5538i,17.58931779767431,0.32,9.158261,91.73,-1.271562926775882,11.88378307215352,19.25,0.4909888079980828,1.5531818833973476
5538j,10.016970390142934,0.34,3.059513,93.07,-0.1032953426405858,8.828248132653105,27.989999999999995,0.1186635843614669,0.8742917509220294
5538k,9.33492292297594,0.32,20.18351,92.75,-0.4242168792367717,9.656909379452896,12.990000000000006,0.5991915113258556,2.347973537258091
5538l,14.544046231872352,0.33,10.0587,90.15,0.4479711082738813,16.72623429666935,25.54,0.5859130176451288,1.967073693533261
5538m,22.1844238447935,0.25,6.39153,93.03,-0.8107289719227473,8.322083027433024,27.39,0.1541065258724716,0.7609364183371548
5538n,6.868017947166055,0.27,3.647892,90.28,-0.4818271157910891,4.200958623996898,28.510000000000005,0.2031510659472046,0.8610253502556398
5538o,23.935970094611992,0.41,7.015885,92.42,-0.8730198238749987,14.277055970132624,23.64,0.2356441810113241,1.354368896586633
5538p,3.034228485938952,0.28,81.65188,91.35,0.0432394593981588,2.04586095239192,14.999999999999996,0.4884129515285162,2.5551565095090822
5538q,3.2745496407439205,0.36,84.22988,90.69,-0.2029918310463285,2.766700780834785,15.170000000000002,0.810763885095267,2.883513110347036
5538r,23.565622562687366,0.39,12.95149,93.33,-0.4388256261028123,8.528411961282023,20.11,0.3197620349058017,1.9230601864583807
5538s,32.477591698916406,0.61,3.174901,89.51,-2.217301401746808,17.70948464892179,28.129999999999995,0.1911568785955275,1.2702903486829675
5538t,24.99443904548422,0.33,4.219812,91.27,-0.3669627746054615,10.44625550415077,28.19,0.305185989323109,1.362840694949874
5539a,7.259730579792173,0.16,12.88394,87.94,-0.5120976056372517,5.551753440056872,19.05,0.3309951715547987,1.3208400709311618
5539b,14.674459298418029,0.11,11.18696,90.16,-0.6499698253458197,11.129475963982593,18.480000000000004,0.5711495609891093,2.549691707604218
5539c,5.91551770368642,0.14,37.14878,89.48,-0.3418460564525993,3.6754900603813256,14.77,0.9606139325856466,6.40793637780871
5539d,6.491773619550623,0.29,9.807961,91.35,-0.8049140578719194,10.873404332759671,19.06,0.3731009180489575,1.914135143303497
5539e,8.69343443809275,0.3,9.182132,90.1,-0.346228741736565,12.913987468660723,27.450000000000003,1.8554616731696616,3.697204636838547
5539f,7.393957751024141,0.29,25.21918,91.84,-0.8409189913916593,9.454753797587156,13.750000000000004,0.7935397743203676,4.836152229040003
5539g,6.941903138109351,0.27,5.483829,91.61,-0.1003510669891349,9.072741575052625,30.45000000000001,0.3347096155028595,2.301312198612415
5539h,9.752439855095538,0.35,10.34196,91.08,-0.2533869397985389,12.273305305548554,20.78,0.4762126036944869,2.6192176427923264
5539i,18.634636668810945,0.34,8.685521,91.04,-1.0329560683955965,13.551946048189611,19.53,0.4940080525337731,2.485319381895557
5539j,10.270850114253308,0.34,3.448701,91.74,-0.3241611961066759,11.519855854163485,30.14,0.3750561131624919,3.2143347742902506
5539k,10.297989302523836,0.3,16.63034,91.99,-0.5331231831960936,10.888151252375522,13.259999999999994,0.7674651960817014,2.9272677204202013
5539l,13.131350849322136,0.34,9.813452,91.23,0.3724473369372538,16.161485549539268,25.82,0.716290971945005,2.936029269606899
5539m,21.701675777259005,0.27,4.586905,91.83,-0.7154267534963399,9.822550369254458,27.47,0.3322754934587391,1.531504703912867
