catalog,g60
5495a,12.53116
5495a,13.26458
5495b,9.032743
5495b,10.24643
5495b,9.507969
5495c,9.368009
5495c,11.75878
5495c,11.68571
5495d,71.24625
5495d,79.47012
5495d,80.64159
5495e,59.15063
5495e,75.93205
5495e,80.39704
5495f,34.97024
5495f,39.89656
5495f,36.6288
5495g,10.27395
5495g,11.25873
5495g,10.74937
5495h,10.93194
5495h,11.88074
5495h,11.93009
5495i,10.74309
5495i,11.76686
5495i,11.60869
5495j,11.05136
5495j,11.93055
5495j,11.67112
5495k,9.409163
5495k,10.13538
5495k,9.166985
5495l,14.56216
5495l,14.14055
5495l,14.14542
5495m,8.930851
5495m,9.641396
5495m,9.514636
5495n,13.33665
5495n,14.7914
5495n,15.19744
5495o,93.68036
5495o,97.11903
5495o,99.45518
5495p,13.30432
5495p,15.05166
5495p,13.49703
5495q,5.62225
5495q,5.884755
5495q,5.664572
5495r,80.68081
5495r,90.1568
5495r,89.186
5495s,9.005898
5495s,9.510962
5495s,8.447935
5495t,10.45581
5495t,11.62406
5495t,11.54565
5495u,4.179865
5495u,4.75163
5495u,4.610332
5495v,7.590776
5495v,8.705479
5495v,8.278396
5495w,8.443781
5495w,8.651651
5495w,8.806037
4787a,86.9686
4787a,55.55234
4787a,85.65562
4787b,83.09728
4787b,84.86736
4787b,86.62901
4787c,14.11921
4787c,14.83096
4787c,14.8522
4787d,5.094671
4787d,5.13296
4787d,5.238308
4787e,1.474793
4787e,1.670285
4787e,2.112042
4787f,11.56393
4787f,11.16627
4787f,12.22972
4787g,5.9829
4787g,5.487239
4787g,5.897856
4787h,88.33958
4787h,86.69632
4787h,85.64372
4787i,9.625287
4787i,9.473659
4787i,9.965143
4787j,86.36929
4787j,84.88197
4787j,85.39824
4787k,9.809803
4787k,9.496906
4787k,9.836344
4787l,7.456412
4787l,7.558922
4787l,8.075378
4787m,1.412498
4787m,1.334339
4787m,2.006582
4787n,89.03714
4787n,89.54926
4787n,89.17504
4787o,9.086584
4787o,8.368679
4787o,7.818926
4787p,10.29578
4787p,9.745898
4787p,9.794352
4787q,6.297936
4787q,6.849258
4787q,6.206067
